# Reachability floors: the share of program locations each harness reaches
# at its configured bound, measured by `cbmc --cover location` under the
# same --unwind, --unwindset and -D flags its launch line proves under.
#
# Why a floor rather than a threshold: a harness that stubs its dependencies
# legitimately reaches less of its translation unit than one that compiles
# them concretely, so there is no single number that is right for all of
# them. What is always wrong is a harness reaching less than it used to,
# because that means a bound shrank below the code the harness names and the
# proof still reports success. That is the failure this file exists to
# catch, and it is not hypothetical: 7206f4c and 93e9504 both shipped
# proofs that passed while proving less than they claimed.
#
# One "name percent" line per harness. A harness absent from this file is
# measured and reported but not gated; the nightly publishes the table, so
# adding a line is a matter of copying the number it printed. Lower a floor
# only with the reason in the commit body.
#
# See https://github.com/c4milo/chapulin/issues/55.

# Measured with cbmc 6.11.0, the version CI pins.

buf 90.2
certparse 29.2
chacha20 98.1
ct 94.1
drbg 84.4
epoch 36.1
hello_build 76.9
hkdf 52.5
hybrid_secret 20.2
key_share 21.9
keysched 87.3
p256_mul 86.7
poly1305 94.3
record 95.0
rsa_mul 32.3
softmul 91.3

# Not gated, because `cbmc --cover location` does not converge on them
# at five minutes a harness. This is a limit of the measurement, not a
# gap someone forgot: the same solver cost that makes the proof slow
# makes counting its reachable locations slow. The nightly gets a
# longer budget and reports whatever it manages; add a line here from
# its table when one of these starts finishing.
#
#   eeparse
#   handshake_parser
#   handshake_post
#   io
#   mlkem
#   mlkem_poly
#   p256
#   rsa
#   sha256
#   sha3
#   sha3_stream
#   x25519_mul
